Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 30.5 Lac,0,"
2 BHK Apartment
",653 sqft,3 out of 3 floors
₹ 23.1 Lac,₹ 3000,"
2 BHK Apartment
",769 sqft,1 out of 3 floors
₹ 45 Lac,0,"
3 BHK Apartment
",1000 sqft,2 out of 3 floors
₹ 90 Lac,0,"
2 BHK Apartment
",800 sqft,1 out of 4 floors
₹ 16 Lac,0,"
2 BHK Apartment
",555 sqft,2 out of 3 floors
₹ 27 Lac,₹ 3792,"
2 BHK Apartment
",712 sqft,4 out of 14 floors
₹ 63.9 Lac,₹ 4338,"
3 BHK Apartment
",1472 sqft,3 out of 5 floors
₹ 35 Lac,₹ 4916,"
2 BHK Apartment
",712 sqft,6 out of 14 floors
₹ 63 Lac,₹ 5806,"
2 BHK Apartment
",1085 sqft,18 out of 25 floors
₹ 25 Lac,0,"
2 BHK Apartment
",720 sqft,2 out of 4 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1080 sqft,2 out of 7 floors
₹ 26 Lac,0,"
2 BHK Apartment
",640 sqft,2 out of 5 floors
₹ 75 Lac,0,"
3 BHK Apartment
",965 sqft,14 out of 25 floors
₹ 82.3 Lac,0,"
3 BHK Apartment
",1150 sqft,1 out of 4 floors
₹ 42 Lac,0,"
3 BHK Apartment
",900 sqft,5 out of 12 floors
₹ 50 Lac,0,"
3 BHK Apartment
",875 sqft,6 out of 7 floors
₹ 28 Lac,₹ 3947,"
2 BHK Apartment
",760 sqft,1 out of 3 floors
₹ 55 Lac,0,"
3 BHK Apartment
",1045 sqft,1 out of 4 floors
₹ 45 Lac,0,"
2 BHK Apartment
",875 sqft,4 out of 4 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1050 sqft,2 out of 15 floors
₹ 50 Lac,0,"
3 BHK Apartment
",856 sqft,Ground out of 4 floors
₹ 31 Lac,0,"
2 BHK Apartment
",675 sqft,1 out of 5 floors
₹ 31 Lac,0,"
2 BHK Builder Floor
",570 sqft,1 out of 3 floors
₹ 55 Lac,0,"
2 BHK Apartment
",850 sqft,9 out of 10 floors
₹ 56 Lac,0,"
2 BHK Apartment
",650 sqft,4 out of 16 floors
₹ 33 Lac,0,"
3 BHK Apartment
",900 sqft,2 out of 4 floors
₹ 45.5 Lac,0,"
3 BHK Apartment
",774 sqft,2 out of 3 floors
₹ 38.5 Lac,0,"
2 BHK Apartment
",736 sqft,1 out of 4 floors
₹ 51 Lac,0,"
3 BHK Apartment
",1136 sqft,4 out of 4 floors
₹ 27 Lac,0,"
2 BHK Apartment
",660 sqft,2 out of 3 floors
₹ 38 Lac,0,"
2 BHK Builder Floor
",600 sqft,Ground out of 3 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1025 sqft,1 out of 4 floors
₹ 82.5 Lac,₹ 5868,"
3 BHK Apartment
",1406 sqft,7 out of 7 floors
₹ 47 Lac,₹ 4766,"
2 BHK Apartment
",986 sqft,2 out of 4 floors
₹ 90 Lac,0,"
3 BHK Apartment
",1148 sqft,2 out of 4 floors
₹ 19.5 Lac,0,"
2 BHK Apartment
",800 sqft,3 out of 4 floors
₹ 55 Lac,0,"
2 BHK Apartment
",980 sqft,3 out of 3 floors
₹ 85 Lac,0,"
1 BHK Apartment
",690 sqft,3 out of 9 floors
₹ 55 Lac,0,"
2 BHK Apartment
",850 sqft,4 out of 4 floors
₹ 16 Lac,0,"
2 BHK Apartment
",500 sqft,2 out of 4 floors
₹ 34 Lac,0,"
3 BHK Apartment
",810 sqft,Ground out of 2 floors
₹ 30 Lac,0,"
2 BHK Apartment
",850 sqft,2 out of 4 floors
₹ 32 Lac,₹ 3556,"
2 BHK Apartment
",900 sqft,2 out of 5 floors
₹ 60 Lac,0,"
4 BHK Apartment
",1300 sqft,2 out of 3 floors
₹ 39 Lac,0,"
3 BHK Apartment
",950 sqft,4 out of 4 floors
₹ 45 Lac,₹ 5461,"
2 BHK Apartment
",824 sqft,3 out of 4 floors
₹ 46 Lac,0,"
3 BHK Apartment
",1040 sqft,1 out of 4 floors
₹ 16.5 Lac,0,"
2 BHK Apartment
",452 sqft,2 out of 5 floors
₹ 86 Lac,0,"
3 BHK Apartment
",1370 sqft,3 out of 4 floors
₹ 50 Lac,₹ 4071,"
3 BHK Apartment
",1228 sqft,3 out of 11 floors
₹ 79 Lac,0,"
3 BHK Apartment
",1011 sqft,9 out of 19 floors
₹ 22 Lac,0,"
2 BHK Apartment
",850 sqft,4 out of 5 floors
₹ 28 Lac,0,"
2 BHK Apartment
",650 sqft,3 out of 4 floors
₹ 24 Lac,0,"
2 BHK Apartment
",550 sqft,3 out of 6 floors
₹ 34 Lac,0,"
2 BHK Apartment
",700 sqft,Ground out of 3 floors
₹ 76 Lac,0,"
3 BHK Apartment
",1340 sqft,1 out of 5 floors
₹ 85 Lac,₹ 2429,"
2 BHK Apartment
",3500 sqft,4 out of 4 floors
₹ 33 Lac,0,"
3 BHK Apartment
",1050 sqft,3 out of 4 floors
₹ 27 Lac,₹ 2842,"
3 BHK Apartment
",950 sqft,2 out of 3 floors
₹ 58.5 Lac,₹ 5367,"
2 BHK Apartment
",1090 sqft,8 out of 25 floors
₹ 50 Lac,₹ 5000,"
2 BHK Apartment
",1000 sqft,4 out of 4 floors
₹ 55 Lac,₹ 4231,"
2 BHK Apartment
",1300 sqft,1 out of 2 floors
₹ 55 Lac,0,"
2 BHK Apartment
",1063 sqft,7 out of 12 floors
₹ 24.5 Lac,₹ 3028,"
2 BHK Apartment
",809 sqft,3 out of 5 floors
₹ 35 Lac,0,"
2 BHK Apartment
",775 sqft,3 out of 3 floors
